Service Center,County,Initial Services Sought at First Visit,Attended Group Training?,"Total Counseling Time, hrs",Business Status,Impact: Capital Investments,Impact: Created New Jobs,Impact: Revenue Increase,Impact: Started Business,Company's Total employees,"Company's Gross Revenue, $",NAICS code,Ownership Gender,Owner's Hispanic Origin,Owner's Race
Calvert County - Southern Region,Calvert,Counseling,No,2.5,In Business (> 1 year),0,0,2500,Not applicable: Already in Business,1,2500,72,Male/Female-Owned,Choose not to respond,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,15.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,8,650000,81,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2.5,Pre-venture/Nascent,0,0,0,No,0,0,72,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2.5,Pre-venture/Nascent,0,0,0,No,0,0,72,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Training,Yes,3,In Business (> 1 year),175000,0,0,Not applicable: Already in Business,3,150000,Undefined,Male/Female-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2.5,Pre-venture/Nascent,0,0,0,No,0,0,11,Male/Female-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,Yes,26.41666666,Started with SBDC,51191,4,79870.29,Yes,4,79870.29,72,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,4.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male/Female-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,5.75,Pre-venture/Nascent,0,0,0,No,0,0,45,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Training,Yes,8.449999988,Pre-venture/Nascent,0,0,0,No,0,0,53,Male/Female-Owned,Non-Hispanic,Asian
Calvert County - Southern Region,Calvert,Counseling,No,3.75,Pre-venture/Nascent,0,0,0,No,0,0,62,Woman-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,1.75,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,Yes,10.75,Pre-venture/Nascent,0,0,0,No,0,0,44,Choose not to respond,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Training,Yes,5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,10000,23,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,6.25,Start-up (in bus. < 1 year),219,1,0,Yes,1,0,54,Male-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,2,Pre-venture/Nascent,0,0,0,No,0,0,62,Choose not to respond,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,8.75,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,2,In Business (> 1 year),0,0,0,Not applicable: Already in Business,6,682000,44,Male/Female-Owned,Choose not to respond,White/Caucasian
Calvert County - Southern Region,Calvert,Training,Yes,3.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Charles,Training,Yes,7.5,Pre-venture/Nascent,200,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,Yes,0.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,54,EDWOSB Certified,Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2,Pre-venture/Nascent,0,0,0,No,0,0,23,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,13.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,7,400000,44,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,4.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,3,42374.27,56,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Training,Yes,3.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,75000,23,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Charles,Counseling,No,5.75,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male/Female-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,1.75,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,1,0,45,Male-Owned,Choose not to respond,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,5.25,Pre-venture/Nascent,0,0,0,No,0,0,42,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2.75,Pre-venture/Nascent,0,0,0,No,0,0,81,Male-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,4.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,2,20000,56,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Charles,Counseling,No,5.75,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Woman-Owned,Non-Hispanic,Native American
Calvert County - Southern Region,Calvert,Counseling,No,3,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,Yes,14.25,Started with SBDC,192,2,0,Yes,2,60000,54,Male/Female-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,6.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,6,0,72,Male-Owned,Non-Hispanic,Asian
Calvert County - Southern Region,Calvert,Counseling,No,2.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male/Female-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,1.75,Pre-venture/Nascent,0,0,0,No,0,0,44,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Training,Yes,3.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,Yes,18.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,3.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Training,Yes,3.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,45,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Frederick,Counseling,No,2.5,Pre-venture/Nascent,0,0,0,No,0,0,72,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,Yes,3.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,2,150000,56,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,Yes,9.5,Started with SBDC,0,0,0,Yes,1,60000,53,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,3.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,Native American
Calvert County - Southern Region,Calvert,Counseling,No,10.75,Pre-venture/Nascent,0,0,0,No,0,0,56,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Training,Yes,9.75,Started with SBDC,0,1,0,Yes,1,60000,81,Male/Female-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Training,Yes,6.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,17,In Business (> 1 year),0,3,0,Not applicable: Already in Business,4,43033,23,Male-Owned,Hispanic,Choose not to respond
Calvert County - Southern Region,Calvert,Counseling,No,13.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,4,60000,62,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,9,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,Yes,20.75,Started with SBDC,0,33,235000,Yes,33,235000,62,Woman-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,Yes,23,Started with SBDC,63000,1,0,Yes,1,60000,Undefined,Male-Owned,Choose not to respond,Choose not to respond
Calvert County - Southern Region,Calvert,Counseling,No,2.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,1.75,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Woman-Owned,Non-Hispanic,Asian
Calvert County - Southern Region,Calvert,Counseling,No,3.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,10000,54,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,37.5,Started with SBDC,950000,65,2233840,Yes,65,2233840,72,Male-Owned,Choose not to respond,Choose not to respond
Calvert County - Southern Region,Calvert,Training,No,7,Pre-venture/Nascent,0,0,0,No,0,0,44,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,5.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male/Female-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Charles,Counseling,No,2.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male/Female-Owned,Non-Hispanic,Choose not to respond
Calvert County - Southern Region,Calvert,Counseling,Yes,5.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,3,258107,54,Male-Owned,Choose not to respond,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,3.75,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,13.5,Started with SBDC,2800,1,18510.75,Yes,1,18510.75,81,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Saint Marys,Counseling,No,4,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,3,0,33,Male/Female-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,16.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,4.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,19.25,In Business (> 1 year),672000,5,160629,Not applicable: Already in Business,9,900629,23,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,1.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,56,Male-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,54,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,5.583000004,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Prince Georges,Counseling,No,4.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male/Female-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Training,Yes,7.5,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,1,5000,61,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,9.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,8,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,Yes,145.75,Started with SBDC,672000,32,197510,Yes,32,274991,61,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Saint Marys,Training,Yes,2.75,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male/Female-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,3.75,Pre-venture/Nascent,0,0,0,No,0,0,54,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,3.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,6,60000,23,Male-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,2.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,7.75,Started with SBDC,0,0,0,Yes,1,60000,56,Male/Female-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,12.75,Started with SBDC,0,1,0,Yes,1,60000,54,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,8.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,3,150000,62,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,2.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,34,150000,72,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,4.75,Pre-venture/Nascent,0,0,0,No,0,0,54,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Prince Georges,Counseling,No,11.75,Pre-venture/Nascent,0,0,0,No,0,0,23,Male-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,6,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2.5,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,4,1200,72,Woman-Owned,Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,3,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,2.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,4,567000,23,Woman-Owned,Choose not to respond,Choose not to respond
Calvert County - Southern Region,Calvert,Counseling,No,2.5,Pre-venture/Nascent,0,0,0,No,0,0,33,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2,Pre-venture/Nascent,0,0,0,No,0,0,45,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,8.75,Started with SBDC,20000,0,0,Yes,1,60000,Undefined,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,6.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male/Female-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Saint Marys,Counseling,No,3,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,2,30000,45,Woman-Owned,Non-Hispanic,Choose not to respond
Calvert County - Southern Region,Calvert,Counseling,No,4.5,Start-up (in bus. < 1 year),0,1,0,Not applicable: Already in Business,6,0,23,Woman-Owned,Choose not to respond,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,5.75,Started with SBDC,0,1,0,Yes,1,60000,Undefined,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,4.300000001,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,72,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,3.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,4,150000,81,Woman-Owned,Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,5.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male/Female-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,42,Male-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,3.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,70000,45,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,3,400000,23,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,5.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,1.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Choose not to respond,Choose not to respond
Calvert County - Southern Region,Calvert,Counseling,No,3,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Training,Yes,2.5,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,1,0,81,Woman-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,3,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2.5,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,7,0,56,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Charles,Counseling,No,2.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,3,800000,23,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,9.75,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,2,0,61,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Training,Yes,8,Start-up (in bus. < 1 year),40000,1,46000,Yes,1,46000,23,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,Yes,1.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,2,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male/Female-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,3.75,Pre-venture/Nascent,0,0,0,No,0,0,42,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,Yes,4.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male/Female-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,3.25,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,1,0,81,Woman-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,1.75,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,2.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,22.75,Started with SBDC,34500,1,116110,Yes,2,116110,45,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,Yes,60,In Business (> 1 year),1944400,12,83000,Not applicable: Already in Business,12,118000,61,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,Yes,2.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,24,Start-up (in bus. < 1 year),57000,2,38000,Not applicable: Already in Business,4,98000,81,Male-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,Yes,10.75,Start-up (in bus. < 1 year),0,3,90.4,Yes,3,90.4,32,Male/Female-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,Yes,3.75,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male/Female-Owned,Choose not to respond,Choose not to respond
Calvert County - Southern Region,Prince Georges,Counseling,No,3,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Training,Yes,6,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,2,9000,42,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,3.5,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,1,0,54,Male-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,6.75,In Business (> 1 year),0,0,70000,Not applicable: Already in Business,4,420000,56,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,3,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,1,12000,23,Male-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,5.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,8,150000,62,Woman-Owned,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,28.08333334,In Business (> 1 year),0,1,2774.96,Not applicable: Already in Business,3,48370,54,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Training,Yes,2.75,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male/Female-Owned,Choose not to respond,Choose not to respond
Calvert County - Southern Region,Saint Marys,Counseling,No,28.75,In Business (> 1 year),0,1,31000,Yes,1,31000,44,Male/Female-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,4.25,Pre-venture/Nascent,0,0,0,No,0,0,23,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,1.75,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male/Female-Owned,Hispanic,Native American
Calvert County - Southern Region,Calvert,Counseling,No,13.25,In Business (> 1 year),0,0,2000,Not applicable: Already in Business,1,2000,62,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male/Female-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,9.75,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male/Female-Owned,Non-Hispanic,Native American
Calvert County - Southern Region,Calvert,Counseling,Yes,15.75,Started with SBDC,0,1,0,Yes,1,60000,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,Yes,10,Started with SBDC,40150,0,0,Yes,1,60000,56,Male/Female-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,4.25,Pre-venture/Nascent,0,0,0,No,0,0,54,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,4.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,1.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,2,150000,54,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,1.75,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Saint Marys,Counseling,No,4.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,3,136937.79,54,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,1.75,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2.25,Pre-venture/Nascent,0,0,0,No,0,0,61,Choose not to respond,Non-Hispanic,Black or African American
Calvert County - Southern Region,Calvert,Counseling,No,4,Pre-venture/Nascent,0,0,0,No,0,0,31,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,6.75,Started with SBDC,0,5,0,Yes,5,60000,52,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,Yes,5.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,6,200000,62,Choose not to respond,Choose not to respond,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,3.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,12,300000,81,Choose not to respond,Choose not to respond,Choose not to respond
Calvert County - Southern Region,Calvert,Counseling,No,5.833333343,Pre-venture/Nascent,0,0,0,No,0,0,71,Male-Owned,Choose not to respond,Choose not to respond
Calvert County - Southern Region,Calvert,Counseling,No,3,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,3.5,Pre-venture/Nascent,0,0,0,No,0,0,81,Woman-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,No,2.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,3000,81,Male/Female-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Charles,Counseling,Yes,38.89999998,In Business (> 1 year),45000,9,34850,Not applicable: Already in Business,9,34850,33,Male-Owned,Non-Hispanic,White/Caucasian
Calvert County - Southern Region,Calvert,Counseling,Yes,3,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Choose not to respond,Choose not to respond
Calvert County - Southern Region,Calvert,Counseling,No,4.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,27384,53,Male-Owned,Non-Hispanic,White/Caucasian
